ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 25.907949 17.357815 27.517643 28.691142 22.763251 23.936750 1 1200 0.031704 88.9
2 26.745043 16.104307 27.527388 28.693250 22.872755 24.038618 1 1200 0.029677 89.3
3 25.721157 17.789252 27.520200 28.696479 22.733008 23.909287 1 1200 0.028629 85.9
4 26.417198 15.260299 27.471617 28.632594 22.889699 24.050676 1 1200 0.028208 73.6
5 25.417154 18.528284 27.525603 28.707024 22.681930 23.863350 1 1200 0.027964 88.5
6 25.833815 17.328680 27.511807 28.685146 22.759363 23.932701 1 1200 0.025277 88.9
7 27.058872 14.746577 27.493398 28.651616 22.956233 24.114452 1 1200 0.025053 79.1
8 26.438875 16.337283 27.515476 28.682655 22.842528 24.009707 1 1200 0.022408 86.4
9 25.293112 18.485840 27.515655 28.696724 22.675691 23.856760 1 1200 0.022346 88.5
10 27.133745 14.160894 27.473802 28.629024 22.988809 24.144030 1 1200 0.021485 83.7
11 26.866793 15.857854 27.525954 28.690383 22.891857 24.056285 1 1200 0.020570 89.3
12 27.031303 13.938093 27.456544 28.610565 22.993609 24.147629 1 1200 0.019324 73.5
13 25.938969 16.629196 27.493340 28.662314 22.796215 23.965189 1 1200 0.018178 83.0
14 26.494999 16.175552 27.513562 28.679860 22.852806 24.019105 1 1200 0.018163 86.4
15 26.841070 15.985735 27.529028 28.694170 22.884639 24.049781 1 1200 0.014969 89.3
16 26.349213 15.483942 27.475936 28.638133 22.875095 24.037293 1 1200 0.014770 78.8
17 25.620806 17.419260 27.501173 28.675156 22.740952 23.914934 1 1200 0.014054 85.9
18 26.319242 17.283752 27.542379 28.715397 22.793835 23.966853 1 1200 0.013453 88.9
19 26.532513 15.970322 27.507502 28.672501 22.865168 24.030166 1 1200 0.013426 89.3
20 27.068092 13.881426 27.456898 28.610682 22.998397 24.152181 1 1200 0.013320 73.5
21 25.989607 15.986671 27.472264 28.637406 22.827875 23.993017 1 1200 0.011857 75.6
22 25.110250 17.358727 27.464463 28.637962 22.710071 23.883570 1 1200 0.011850 76.1
23 26.914421 16.049354 27.536778 28.702352 22.886238 24.051811 1 1200 0.011749 89.3
24 25.256191 17.266117 27.471509 28.644527 22.722965 23.895983 1 1200 0.011593 76.1
25 25.271963 18.623411 27.518433 28.700385 22.669210 23.851162 1 1200 0.011442 88.5
26 25.796204 17.730180 27.523455 28.699402 22.740092 23.916039 1 1200 0.011206 85.9
27 26.713472 15.152977 27.487407 28.647848 22.913948 24.074390 1 1200 0.010995 83.4
28 26.599400 16.091815 27.516728 28.682446 22.864141 24.029858 1 1200 0.010819 89.3
