ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour Dist(Mpc)
1 168.244461 72.879295 10.378060 12.054535 -99.000000 -99.000000 1 1200 0.099057 35.3 101.499327
2 270.864380 -0.295221 18.641407 19.761422 16.353829 17.473843 1 1200 0.063477 68.6 111.080922
3 270.864000 -0.295360 18.641382 19.761396 16.353804 17.473818 1 1200 0.052899 68.6 112.594124
4 170.420593 72.833481 10.523135 12.199611 -99.000000 -99.000000 1 1200 0.027562 37.6 190.005405
5 168.135406 72.498749 10.269767 12.148287 -99.000000 -99.000000 1 1200 0.026240 39.9 104.475592
6 169.827118 72.824066 10.483570 12.160046 -99.000000 -99.000000 1 1200 0.023552 37.3 100.071499
7 163.314819 72.082314 9.875231 11.900079 -99.000000 -99.000000 1 1200 0.023486 62.6 148.694643
8 169.778580 72.924095 10.501779 12.135365 -99.000000 -99.000000 1 1200 0.021840 36.4 156.296870
9 169.857574 72.750992 10.464563 12.183114 -99.000000 -99.000000 1 1200 0.019192 37.3 143.446881
10 193.875076 70.829254 11.722690 14.127320 -99.000000 -99.000000 1 1200 0.018500 75.3 128.338785
11 162.753754 71.663506 9.756133 11.944368 -99.000000 -99.000000 1 1200 0.018043 81.8 142.077149
12 169.977493 72.882462 10.493595 12.170071 -99.000000 -99.000000 1 1200 0.017388 36.4 97.683380
13 170.645050 72.641792 10.476228 12.276445 -99.000000 -99.000000 1 1200 0.017315 38.4 167.449662
14 267.278778 8.102863 19.162971 20.294306 15.342864 16.474199 1 1200 0.017002 88.2 100.363060
15 172.070953 72.947861 10.654604 12.288190 -99.000000 -99.000000 1 1200 0.016505 38.6 150.452203
16 181.355347 72.799789 11.231081 12.949632 -99.000000 -99.000000 1 1200 0.015920 55.6 101.073992
17 163.814407 71.946754 9.874553 11.967368 -99.000000 -99.000000 1 1200 0.015507 64.5 148.646125
18 168.500412 72.911530 10.416568 12.050154 -99.000000 -99.000000 1 1200 0.014816 35.3 106.792447
19 167.037354 72.050453 10.106190 12.165457 -99.000000 -99.000000 1 1200 0.014645 68.7 147.871906
20 170.358597 72.818718 10.519002 12.195478 -99.000000 -99.000000 1 1200 0.014095 37.3 133.583978
21 172.237473 73.034821 10.709797 12.255200 -99.000000 -99.000000 1 1200 0.012362 43.4 95.573764
22 173.924347 73.451721 10.963654 12.226259 -99.000000 -99.000000 1 1200 0.012029 52.6 193.276404
23 166.052887 72.929359 10.253400 11.886985 -99.000000 -99.000000 1 1200 0.011333 31.8 163.783287
24 174.442719 72.760735 10.770239 12.488790 -99.000000 -99.000000 1 1200 0.009795 42.4 202.189710
25 174.862000 72.269920 10.680762 12.634171 -99.000000 -99.000000 1 1200 0.009758 58.4 125.238263
26 270.786896 -0.303287 18.634526 19.754542 16.350378 17.470393 1 1200 0.009533 68.6 172.451831
27 173.266937 72.110847 10.538705 12.563553 -99.000000 -99.000000 1 1200 0.009479 69.7 202.442298
28 166.697891 72.568527 10.193297 12.033089 -99.000000 -99.000000 1 1200 0.009291 37.9 44.187868
29 170.483505 72.372940 10.407370 12.323764 -99.000000 -99.000000 1 1200 0.009050 49.9 192.045352
30 270.416534 1.907650 18.870920 19.991542 16.063996 17.184618 1 1200 0.008627 71.9 100.650514
31 267.517914 7.285121 19.124274 20.253382 15.415673 16.544781 1 1200 0.008535 85.1 96.620011
32 269.284149 1.765376 18.780936 19.901471 16.003082 17.123617 1 1200 0.008519 85.8 114.154823
33 271.076721 -0.492606 18.628036 19.748078 16.395485 17.515526 1 1200 0.008352 65.9 104.134249
34 272.541412 -0.172123 18.768622 19.888627 16.450228 17.570233 1 1200 0.008348 89.0 98.821751
35 170.059662 72.851936 10.499073 12.175549 -99.000000 -99.000000 1 1200 0.008205 37.3 173.005607
36 269.422913 3.087836 18.921469 20.043108 15.879947 17.001587 1 1200 0.008185 73.5 115.246430
37 172.325073 73.019852 10.693393 12.283284 -99.000000 -99.000000 1 1200 0.007738 43.4 165.858522
38 272.370361 -0.643296 18.693529 19.813599 16.502449 17.622519 1 1200 0.007439 78.9 108.096706
39 168.269699 72.988167 10.423034 12.012925 -99.000000 -99.000000 1 1200 0.007314 33.9 212.510400
40 164.832993 71.844536 9.926120 12.051612 -99.000000 -99.000000 1 1200 0.007251 84.1 135.234501
41 172.628601 73.208122 10.781523 12.235623 -99.000000 -99.000000 1 1200 0.007168 43.4 214.552806
42 172.851959 72.212029 10.528683 12.518244 -99.000000 -99.000000 1 1200 0.007022 59.3 178.264896
43 273.023407 -1.575658 18.592999 19.713422 16.689699 17.810122 1 1200 0.006991 78.4 197.356186
44 170.535980 73.301277 10.689170 12.048960 -99.000000 -99.000000 1 1200 0.006902 46.4 190.405484
45 170.836685 72.686119 10.509212 12.269013 -99.000000 -99.000000 1 1200 0.006712 38.4 134.959828
46 268.909485 3.657178 18.937920 20.060206 15.794392 16.916678 1 1200 0.006639 75.8 129.153037
47 270.675659 -0.345605 18.621959 19.741979 16.348109 17.468129 1 1200 0.006537 75.4 108.092849
48 266.978729 6.956900 19.066580 20.194901 15.402263 16.530584 1 1200 0.006533 83.6 112.962424
49 171.736755 72.882652 10.610879 12.287355 -99.000000 -99.000000 1 1200 0.006493 38.6 180.517773
50 190.237152 71.771057 11.603827 13.761126 -99.000000 -99.000000 1 1200 0.006283 64.5 105.767322
51 167.897949 72.071724 10.163563 12.222830 -99.000000 -99.000000 1 1200 0.006280 69.6 210.354470
52 164.569321 72.320984 9.994584 11.947992 -99.000000 -99.000000 1 1200 0.006156 43.2 136.809289
53 271.593872 -0.602606 18.646959 19.767021 16.445495 17.565557 1 1200 0.005937 61.6 205.497982
54 266.807281 7.826583 19.113059 20.243598 15.330706 16.461246 1 1200 0.005920 85.3 105.093965
55 194.326477 70.203438 11.689343 14.220854 -99.000000 -99.000000 1 1200 0.005852 87.0 128.518599
56 167.892212 71.523331 10.083664 12.301965 -99.000000 -99.000000 1 1200 0.005734 86.0 193.160190
57 163.042831 71.580238 9.760371 11.978673 -99.000000 -99.000000 1 1200 0.005672 81.8 166.517077
58 195.123444 70.198662 11.742474 14.273985 -99.000000 -99.000000 1 1200 0.005643 82.3 128.483766
59 170.068237 72.797218 10.478607 12.197158 -99.000000 -99.000000 1 1200 0.005510 37.3 112.608942
60 271.182281 -1.641741 18.457785 19.578248 16.579390 17.699853 1 1200 0.005428 84.2 176.875164
61 267.032379 6.849984 19.063312 20.191396 15.412921 16.541006 1 1200 0.005124 83.6 108.861387
62 188.805000 72.232200 11.592219 13.581781 -99.000000 -99.000000 1 1200 0.005111 66.9 102.206973
63 269.445435 4.617829 19.056113 20.179778 15.746280 16.869945 1 1200 0.005088 82.2 120.859083
64 198.079224 70.649353 11.980169 14.430395 -99.000000 -99.000000 1 1200 0.005010 76.1 130.046446
65 271.825104 -1.365754 18.546834 19.667153 16.576194 17.696513 1 1200 0.004797 60.1 139.174910
66 194.545135 71.420158 11.831759 14.107592 -99.000000 -99.000000 1 1200 0.004738 74.4 106.985142
67 173.745728 73.512749 11.001702 12.164395 -99.000000 -99.000000 1 1200 0.004732 60.9 189.286402
