index RAJ2000 DEJ2000 exptime Nvis LogProb contour
0 -81.260567 15.83987 1200.0 1.0 -22.34178802178876 89.74954992838
1 -80.534294 17.118529 1200.0 1.0 -23.036919953300846 84.38232760949789
2 -80.916451 15.890814 1200.0 1.0 -23.414729916287747 84.61353620490752
3 -80.945099 16.138545 1200.0 1.0 -23.780296621257584 84.62147786139548
4 -80.599693 17.448013 1200.0 1.0 -23.81977394825161 89.98340643767054
5 -80.735916 15.390275 1200.0 1.0 -23.837903403222988 76.32674620912195
6 -79.899254 15.92172 1200.0 1.0 -23.861213755723597 37.671110533570385
7 -80.415421 16.288941 1200.0 1.0 -23.982630903310657 76.10785846909755
8 -80.455795 17.253243 1200.0 1.0 -24.02600619746468 77.19019403803131
9 -80.069717 16.009624 1200.0 1.0 -24.04685864320298 48.990285213280096
10 -80.258415 16.778855 1200.0 1.0 -24.351438159765756 69.80493095244778
11 -80.591682 16.779752 1200.0 1.0 -24.505736380954996 84.37800443558395
12 -80.79937 15.709386 1200.0 1.0 -24.542913623398388 73.15138185843179
13 -80.090813 17.586879 1200.0 1.0 -24.573645344690863 74.22705170109604
14 -79.832634 17.40187 1200.0 1.0 -24.818015471179688 65.28006201458028
15 -79.189011 16.139267 1200.0 1.0 -24.983958857603785 26.16410347224579
16 -78.940147 15.723338 1200.0 1.0 -24.98851150841988 29.389048918594302
17 -79.725334 15.775434 1200.0 1.0 -24.99092334848682 29.382238600965614
18 -80.199753 17.708744 1200.0 1.0 -25.264009417515748 84.91352392226025
19 -79.858406 17.066625 1200.0 1.0 -25.291219015601573 60.16300264782394
20 -79.736382 17.265141 1200.0 1.0 -25.349827693461986 54.74680826842272
21 -80.820068 16.941291 1200.0 1.0 -25.369192940481472 84.38171001322448
22 -78.417404 14.942989 1200.0 1.0 -25.390535325412987 65.07542975083037
23 -78.379341 16.026132 1200.0 1.0 -25.466551713920214 54.30141401137729
24 -79.65744 16.660989 1200.0 1.0 -25.498950977067725 42.877751981499735
25 -78.110733 16.233227 1200.0 1.0 -25.516571115993976 59.755127888961255
26 -79.385979 16.361894 1200.0 1.0 -25.55318475444142 28.650794217854582
27 -79.544365 16.174942 1200.0 1.0 -25.569964379124148 31.622442831017533
28 -79.861038 15.875029 1200.0 1.0 -25.574349108338435 37.671110533570385
29 -79.046066 16.069362 1200.0 1.0 -25.723253886382604 27.22940581912502
30 -78.828072 17.176791 1200.0 1.0 -25.736892967343767 26.432252050570206
31 -80.536911 15.893171 1200.0 1.0 -25.777916147864087 69.00448313961695
32 -79.037361 17.326633 1200.0 1.0 -25.79516995770315 29.016150194392587
33 -79.861977 15.896712 1200.0 1.0 -25.84009469625725 37.671110533570385
34 -79.685555 14.83487 1200.0 1.0 -25.84629769943636 24.463076277565456
35 -80.253464 15.915759 1200.0 1.0 -25.8846513599885 54.98127231609651
36 -79.695099 16.278799 1200.0 1.0 -25.893386555888828 37.69327559921042
37 -79.935455 16.173473 1200.0 1.0 -25.90517033698278 42.898235631489875
38 -77.983597 17.581705 1200.0 1.0 -26.011114390633455 43.55606955338454
39 -78.850075 17.388886 1200.0 1.0 -26.17504075984645 27.301825393241852
40 -77.56736 16.026085 1200.0 1.0 -26.185862981311455 88.63903319491175
41 -79.887878 17.089299 1200.0 1.0 -26.197913665843092 60.16300264782394
42 -77.781281 17.157291 1200.0 1.0 -26.219553228254636 60.72610244665536
43 -78.489792 16.170704 1200.0 1.0 -26.2229404224371 42.950354476811334
44 -80.348785 14.785267 1200.0 1.0 -26.27822814399978 40.647539258736806
45 -80.84449 15.725624 1200.0 1.0 -26.409298086028404 73.15138185843179
46 -78.493683 16.823592 1200.0 1.0 -26.425505000266494 34.499638623475015
47 -79.424164 16.972212 1200.0 1.0 -26.505834535230417 35.42351055854913
48 -79.583649 16.51595 1200.0 1.0 -26.518354156727558 35.356883946534964
49 -80.244156 15.490647 1200.0 1.0 -26.604881017913147 49.015741527178584
50 -78.125198 16.763315 1200.0 1.0 -26.741193904539173 48.80497545014521
51 -79.50705 17.103402 1200.0 1.0 -26.794343217295935 45.046175566299915
52 -79.675995 15.717703 1200.0 1.0 -26.80219393720108 29.382238600965614
53 -78.16806 19.307731 1200.0 1.0 -26.81096083197904 30.486157435338544
54 -77.468399 16.824965 1200.0 1.0 -26.831865154499976 82.14637118252706
55 -78.848297 15.613822 1200.0 1.0 -26.859897037152248 36.55743178682535
56 -79.034439 17.243982 1200.0 1.0 -26.860624605446315 29.016150194392587
